,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,,,,,7:16,7:21,Red,Orange,2,,,"Got into a tail wag match with P/P, no winner. ",,,,,
,,,,,,,,,,,,,,,,,,,,7:23,7:28,Red,Red,9,,,"2 unmarked males were 2 to 3 but in front of him having a tail wag and wing fight - he didn't come over, just sat. ",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1987-04-17,6:00,6:40,NORTH,Cole,,0,A few stratus clouds,N,N,,,Clear,,,6:01,24,26,"Females flustered near LR/RB, B/B B.T.",6:06,6:11,Red,Blue,35,,,"Fight w/ B/B - RB/LR, Kept tail erect during fight. B/B kept his down and folded but RB/LR walked away. ",Red,Blue,,3,My watch is 4min fast. LR/RO - sore still on bottom side of left air sac. 
,,,,,,,,,,,,,,,,6:35,22,10,scattered female,6:13,6:18,Blue,Blue,27,,5m of center,,,,,,
,,,,,,,,,,,,,,,,6:45,,,LR/RB ran + won fight ,6:24,6:29,Red,Orange,36,1,2m of hens,,,,,,
,,,,,,,,,,,,,,,,7:11,27,5,,6:30,6:35,Red,Red,21,,,,,,,,
,,,,,,,,,,,,,,,,7:40,16,5,,6:39,6:44,White,White,8,,,Was in standoff at lek W and ran unmark away - no hens near. ,,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:54,Purple,Purple,0,,,Roosted for a couple of min and starded walking W and R/R ran up to him. They exchanged clucks and tail wags and went about business. ,,,,,
,,,,,,,,,,,,,,,,,,,,7:05,7:10,Blue,Blue,16,1,"He strutted within 5m of 3 females, but one flew as he strutted right in front of her. ",tail wag with LR/RB - tie. ,,,,,
,,,,,,,,,,,,,,,,,,,,7:14,7:19,Red,Blue,34,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:20,7:25,Red,Orange,2,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:20,7:25,Purple,Green,7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:27,7:32,White,Orange,33,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:34,7:39,White,White,2,,,"Tail wag with unmarked male - W/W. Kept tail down and close, unmarked erect and spread. ",,,,,
,,,,,,,,,,,,,,,,,,,,6:56,7:01,Purple,Green,11,,,"He was extreme edge of lek when time period began - he strutted and walked fast to middle of lek LR/RO ran up to him, exchanged clucks, wags, R/O walked off ",,,,,
45,4-18-1987,6:05,6:40,NORTH,NA,,Very slight breeze,NA,N,N,NA,Moon out,NA,,,6:10,30,18,"1 male across road, P/P, B/B, broken tail, LR/RB are center males. ",6:15,6:20,Red,Blue,35,0,,,,,,,Not entered. 
,,,,,,,,,,,,,,,,7:45,31,15,"1 male across road, P/P, B/B, broken tail, LR/RB are center males. ",6:21,6:26,Blue,Blue,32,,Edge of center,,Red,Blue,,6,
,,,,,,,,,,,,,,,,7:10,,,,6:27,6:32,Purple,Purple,34,,edge of center,Juv chased out,Purple,Purple,,2,
,,,,,,,,,,,,,,,,7:28,24,1,"Birds are flying of now, the extreme edges of the lek has unmarked birds strutting. At 7:29 21 birds flew to N - 8 remained - these are ones who were on extreme western edge  - 1 at N edge. ",6:33,6:38,White,White,20,3,25m NW of center and females. ,,,,,,
,,,,,,,,,,,,,,,,,,,,6:56,7:01,Red,Orange,30,,,"P/P mounted female about 5ft from him. R/O ran over and beat off with wing. Female and other hen still hung around these 2. Then, P/P mounted a hen, R/O ran over and got in a big wing fight. it continued even after P/P was off female, they stopped and P/P turned and strutted. Female looked satisfied this time - both hens left after this. P/P is now about 25m to the SW of where the center was earlier, females are real scattered about the lek. ",,,,,
,,,,,,,,,,,,,,,,,,,,7:05,7:10,Purple,Green,12,,,"Seconds prior to the strutting, he and P/P were in a stand off tail wag - no winner but P/P kept his tail up and a bit spread. ",,,,,
