,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left,Right,,,
,,,,,,,,,,,,,,,,,,,,7:04,,W,P,2,-,,nobody ystrutting,,,,,
,,,,,,,,,,,,,,,,,,,,7:15,,W,B,1,-,,feeding,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,19-04-1988,5:55,NA,NORTH,Boyce,,5,70,no,no,,Developing cloudiness - 100% by end of watch,,,,5:55,17,1,,6:29,6:32,W,G,40,1,,,W,G,,3,R/R appears deceased. W/B won fight with unmarked male at 6:33. 
,,,,,,,,,,,,,,,,6:07,17,6,"strutting has almost quit, everyone starting to leave",,,W,B,36,1,,cop - fight - after(?) count,W,B,,6,
,,,,,,,,,,,,,,,,6:20,18,13,,6:37,6:42,W,B,34,1,,,,,,,
,,,,,,,,,,,,,,,,6:47,18,10,,7:21,7:26,B,B,3,3,,fight w/ unmarked male,,,,,
,,,,,,,,,,,,,,,,7:10,20,15,,7:32,7:37,W,P0426,12,3,,confrontation - no winner,,,,,
,,,,,,,,,,,,,,,,7:18,21,,W/B chased off unmarked male,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:57,20,9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,26-04-1988,5:50,6:23,NORTH,Boyce,,0,30,no,no,17,"Ver cold, 17 degrees record low for data",Snow covered ~1 inch,,,5:54,28,2,,6:02,,W,P,22,3,,,,,,,B/B chased off another male. O/W has a limp. R/B confronted by other male flew off to edge of lek. R/B not strutting. W/B chased off juvenile. 
,,,,,,,,,,,,,,,,6:25,29,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,7:00,25,0,Very little strutting,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skipped,04-05-1988,5:32,6:06,NORTH,White,,-,0,no,no,,Full moon overnight,,,,5:37,20,0,"Very quiet, little strutting",5:44,5:49,W,P,7,-,,Standoff w/ UM male,,,,,"Males present - W/P, W/B, B/. Most (?) dawn. Most birds feeding - several flew (?) to N at 5:45. Left at 6:00 - no birds on lek ~ 6 feeding N of lek + wandering N. "
,,,,,,,,,,,,,,,,5:52,9,0,Most feeding,5:41,5:49,W,B,0,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,17-05-1988,5:17,54,NORTH,White/Burton,,0-5,70,no,no,,,,Eagle,5:26,5:20,22,1,Includes both mating centers,,,W,,,,,,,,,,"5:26 - eagle flew in + sat on fence past S of lek, everyone disappeared down. 5:33 - birds on W center, (?) up and walking to N - even with eagle still there - hen also on E center. 5:34 - Birds on E center flew (except 2) - eagle still there. "
,,,,,,,,,,,,,,,,5:22,23,3,,,,G,G,,,,,,,,,
,,,,,,,,,,,,,,,,5:36,5,0,,,,,,,,,,,,,,
