,,,,,,,,,,,,,,,,,,,, strut Time,strut time ,Tag Colours,Tag Colours,num of Struts,Distance to Hens category,distance to hens comments,Fights,copulation Tag Colours,copulation,copulation time,num copulations,OTHER FIGHTS AND COMMENTS,,
binder pdf page number,Date,Arrival TIme,Sunrise time,Lek,Observer,Trapping Activity,Wind mph,Cloud Cover percent,Snowing status,Raining status,Temp F,Other weather conditions,LEK Ground Condition,predator disturbance Type ,predator disturbance Time,observation Time ,num Males observed,num Females observed,observations or marks,Start,End,Left ,Right,,,,,Left ,Right,,,,,
,,,,,,,,,,,,,,,,,,,,6:16,6:21,G,R,2,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:21,6:26,G,B,9,3,,Standoff by WY,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:30,6:33,W,Y,22,3,,Lost fight to UM male,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:38,6:43,W,O,22,3,,Chased off UM male,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:43,6:48,,O1366,3,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:47,6:52,WY,Y,16,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,B,B,8,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:06,7:11,R,B,6,3,,"CHased off UM male, standofff with B1666",,,,,,,
,,,,,,,,,,,,,,,,,,,,7:13,7:18,WO,W,0,3,,Standoff  with WGW,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:18,7:23,B1666,,18,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:26,7:31,WB,W,20,3,,-,,,,,,,
80,03-05-1990,5:30,6:05,NORTH,White,Cannon netting,Calm,40,-,-,30,-,Light frost,,,5:38,23,2,BG WY YW WYY,,,,,,,,,Y,W,,1 - interrupted by BG (?) was successful,,,
81,07-05-1990,5:39,~ 6:00,NORTH,White,None,Calm,88,-,-,40 - 45,TS just N of lek,Clear,,,5:42,25+2,6,,5:46,5:51,B,Y,23,3,,-,G,B,,1,"Left at 7:28, almost no activity. By 7:23 - all hens wandered off. By 6:35 most activity stopped. At 6:55 female arrived, walked through lek. 10 avocets, 10 pairs mallards, 1 pair pintail, 2 pair RN ducks. A map of the lek and their relative locations appears to be created with tag colors marked all over the bottom half of the page",,
,,,,,,,,,,,,,,,,7:01,25,3,Almost no activity,5:52,5:57,R,B,39,1,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:02,6:07,B,B,33,1, female passed by,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:07,6:12,WY,Y,22,2,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:12,6:17,B,O,37,1,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:18,6:23,W,O,25,3,,Chased off UM,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:23,6:29,W,Y,29,1,female passed by,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:29,6:34,G1593,R,20,2,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:34,6:34,GR,R,25,1, female passed by,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:49,6:54,G,B,1,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:42,6:47,WO,W,36,3,,UM at a lot,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:54,6:59,WB,W,35,3,,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:07,7:12,G-UO,B,16,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,7:12,7:17,Y1272,W,0,3,,,,,,,,,
82,13-05-1990,5:38,~5:58,NORTH,White,None,0 to 5,100,-,Occassionally spitting,35,-,Clear,None,,5:38,18,1,,5:49,5:59,R,B,36,2,,-,,,,,"5:47 - 3 birds flew - including W141-. 5:59 - 1 hen left lek  - another entered. 6:12 - WRR walked off. 6:13 - 1 hen flew, 6:15 - last hen flew - only five strutting. 6:19 - 7 males flew - only RB + BB left on lek + BB was fiesty. 6:26 - all birds walked off lek. 6:30 - left",,
,,,,,,,,,,,,,,,,6:11,11,2 (next to RB),4 of the males sitting just beyong lek preening,5:54,5:59,B,B,16,2,,Kept moving away from females,,,,,,,
,,,,,,,,,,,,,,,,6:26,3,0,All feeding beyond lek,5:59,6:04,B,O1364,27,3, hen walked by at 10 m,,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:04,6:09,G150,B,0,3,,Just walked away,,,,,,,
,,,,,,,,,,,,,,,,,,,,6:05,6:10,WB1751,R,8,3,,-,,,,,,,
