"regression of strut rate vs. distance to hens, time from sunrise",,,,,,,,,,,,,,,,,
"year = all, males of unknown malarial status not included",,,,,,,,,,,,,,,,,
breeder vs. non-breeder,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,STRUTS,TIME FROM,DIST. TO,,,predicted,,,struts,,resids,,,,,,
MALARIA,/5 MIN,SUNRISE,HENS,YEAR,BREED,struts,resids,,squared,struts,squared,resids,,,,,
---------,---------,---------,---------,---------,---------,---------,---------,,---------,---------,---------,---------,,,Regression Output:,,
3,6,0.031,0,89,0,21.09742813,-15.097458,,36,6,227.9332381,-15.097458,,,,,
3,2,0.031,3,90,0,10.38116747,-8.3813175,,4,2,70.24648304,-8.3813175,,,,,
1,24,0.013,2,89,0,15.28425191,8.7156381,,576,24,75.96234749,8.7156381,,,,,
1,14,0.006,1,90,0,19.39924563,-5.3993156,,196,14,29.15260895,-5.3993156,,,,,
1,34,0.012,2,89,0,15.38933059,18.610559,,1156,34,346.3529063,18.610559,,,,,
3,25,0.027,2,89,0,14.2334644,10.766426,,625,25,115.9159288,10.766426,,,,,
0,8,0.015,3,89,0,11.58957315,-3.5897231,,64,8,12.88611193,-3.5897231,,,,,
3,2,0.015,3,89,0,11.58957315,-9.5897231,,4,2,91.96278913,-9.5897231,,,,,
3,11,0.035,3,89,0,10.01339185,0.98645812,,121,11,0.973099623,0.98645812,,,,,
0,12,0.015,3,90,0,11.58957315,0.41027687,,144,12,0.16832711,0.41027687,,,,,
3,0,-0.001,3,90,0,12.74543937,-12.745589,,0,0,162.450039,-12.745589,,,,,
0,34,-0.011,1,90,0,20.71272999,13.2872,,1156,34,176.5496838,13.2872,,,,,
0,4,0.053,3,90,0,8.699907483,-4.7000575,,16,4,22.0905405,-4.7000575,,,,,
1,27,0.006,2,90,0,15.862185,11.137705,,729,27,124.0484727,11.137705,,,,,
1,36,0.026,1,89,0,17.92814316,18.071787,,1296,36,326.5894854,18.071787,,,,,
1,0,0.043,0,90,0,20.20425872,-20.204289,,0,0,408.213294,-20.204289,,,,,
0,0,-0.009,2,90,0,16.96551188,-16.965622,,0,0,287.8323298,-16.965622,,,,,
0,31,0.006,1,90,0,19.451785,11.548145,,961,31,133.3596529,11.548145,,,,,
1,0,0.015,3,90,0,11.58957315,-11.589723,,0,0,134.3216792,-11.589723,,,,,
0,0,0.028,0,90,0,21.30758564,-21.307616,,0,0,454.0144996,-21.307616,,,,,
3,16,0.017,2,89,0,14.96901563,1.0308744,,256,16,1.062702029,1.0308744,,,,,
0,16,0.035,3,90,0,10.06593127,5.9339188,,256,16,35.21139232,5.9339188,,,,,
3,39,-0.002,1,89,0,20.02971812,18.970212,,1521,39,359.8689433,18.970212,,,,,
0,1,0.004,3,89,0,12.37766375,-11.377814,,1,1,129.4546514,-11.377814,,,,,
0,2,0.010,0,89,0,22.67360935,-20.673639,,4,2,427.3993495,-20.673639,,,,,
3,20,0.026,1,89,0,17.87560374,2.1243263,,400,20,4.512762229,2.1243263,,,,,
3,0,0.042,0,89,0,20.25679813,-20.256828,,0,0,410.3390806,-20.256828,,,,,
